Country,total_players,active_players,football_hall_of_famers,total_country_games_played,touchdowns,most_countries_td_scored,total_tds,most_games_played_,most_gms_by_countries_player
Unknown,1,1,0,2,0,,,Parnell Motley,2
Unknown,10,10,0,56,0,,,Tommy Townsend,11
Unknown,10,10,0,61,2,Gabe Nabers,2,Rodrigo Blankenship,11
Unknown,1,1,0,1,0,,,Breiden Fehoko,1
Unknown,4,4,0,28,8,James Robinson,8,James Robinson,11
Unknown,3,3,0,10,0,,,Austin Mack,6
Unknown,6,6,0,16,0,,,Malcolm Roach,6
Unknown,1,1,0,9,0,,,Sean McKeon,9
Unknown,2,2,0,5,0,,,Michael Dunn,3
Unknown,1,1,0,1,0,,,Austin Edwards,1
Unknown,1,1,0,7,0,,,Ben Ellefson,7
Unknown,1,1,0,11,0,,,Tershawn Wharton,11
Unknown,4,4,0,13,0,,,De'Michael Harris,5
Unknown,2,2,0,11,0,,,Rico Dowdle,10
Unknown,2,2,0,14,0,,,Myles Hartsfield,12
Unknown,1,1,0,2,0,,,Elijah Riley,2
Unknown,4,4,0,16,1,Reggie Gilliam,1,Reggie Gilliam,11
Unknown,5,5,0,37,1,Colin Thompson,1,Colin Thompson,11
Unknown,1,1,0,1,0,,,Dieter Eiselen,1
Unknown,1,1,0,12,0,,,Joseph Charlton,12
Unknown,3,3,0,9,0,,,Jovante Moffatt,5
Unknown,16,16,0,77,1,Jamycal Hasty,1,Ross Matiscik,11
Unknown,2,2,0,12,0,,,Francis Bernard,8
Unknown,2,2,0,3,0,,,Cole Christiansen,2
Unknown,1,1,0,3,1,Salvon Ahmed,1,Salvon Ahmed,3
Unknown,1,1,0,5,0,,,Kristian Welch,5
Unknown,1,1,0,11,0,,,Jacob Bobenmoyer,11
